signal_strength,network_load,user_speed,call_duration,tower_distance,packet_loss,dropped_call,signal_quality,mobility_level,load_category,call_risk_score
-114,56,40,496,6.88,1.21,1,Poor,Medium,Medium,68.69999999999999
-117,15,78,98,4.19,1.03,1,Poor,High,Low,51.400000000000006
-115,25,24,218,3.68,1.98,1,Poor,Medium,Low,64.3
-63,81,85,280,7.41,4.3,1,Good,High,High,94.30000000000001
-99,27,17,415,7.44,0.31,1,Poor,Low,Low,43.6
-95,61,11,287,6.11,1.09,0,Moderate,Low,Medium,63.800000000000004
-118,57,86,215,2.99,4.47,1,Poor,High,Medium,102.9
-80,52,50,599,9.26,0.61,0,Moderate,Medium,Medium,50.9
-61,48,108,337,5.56,3.15,0,Good,High,Medium,69.0
-107,58,38,345,7.93,1.07,1,Poor,Medium,Medium,66.0
-109,21,88,47,2.22,3.03,1,Poor,High,Low,71.39999999999999
-109,19,9,237,3.51,1.92,1,Poor,Low,Low,59.5
-108,80,93,492,8.76,0.51,1,Poor,High,High,69.5
-96,64,73,143,0.6,2.91,1,Poor,High,Medium,83.5
-76,10,97,399,5.17,3.42,0,Moderate,High,Low,61.0
-102,58,109,434,4.87,3.4,1,Poor,High,Medium,87.8
-66,45,76,596,7.54,3.19,0,Good,High,Medium,69.7
-76,30,53,519,2.89,2.5,0,Moderate,Medium,Low,59.8
-113,46,28,436,2.27,2.6,1,Poor,Medium,Medium,78.30000000000001
-68,33,101,483,9.27,3.18,0,Good,High,Low,65.4
-66,64,40,577,5.76,3.45,0,Good,Medium,Medium,79.9
-89,34,108,370,1.14,3.27,0,Moderate,High,Low,73.0
-70,16,8,220,2.01,2.93,0,Good,Low,Low,56.7
-77,90,62,188,9.99,0.78,1,Moderate,High,High,66.89999999999999
-51,80,76,67,2.04,1.05,0,Good,High,High,57.8
-103,80,36,82,6.14,1.3,1,Poor,Medium,High,75.9
-99,33,13,224,4.26,4.6,1,Poor,Low,Low,88.9
-84,20,100,82,8.87,3.8,1,Moderate,High,Low,71.2
-65,82,72,476,7.58,,1,Good,High,High,76.9143888888889
-62,21,71,280,6.01,,0,Good,High,Low,51.61438888888888
-118,44,38,508,0.21,0.55,1,Poor,Medium,Medium,58.5
-93,72,39,363,8.81,4.49,1,Moderate,Medium,High,101.6
-86,77,53,243,4.5,4.46,1,Moderate,Medium,High,101.2
-60,66,2,328,9.32,,0,Good,Low,Medium,69.01438888888889
-67,22,54,28,5.01,3.99,1,Good,Medium,Low,68.8
-58,32,119,584,6.97,2.23,0,Good,High,Low,52.5
-114,92,110,381,0.79,1.62,1,Poor,High,High,87.2
-72,48,103,193,7.48,3.7,1,Good,High,Medium,77.8
-90,97,32,286,3.45,3.07,1,Moderate,Medium,High,96.5
-63,89,95,154,3.58,3.9,1,Good,High,High,93.5
-60,21,70,90,1.27,0.37,0,Good,High,Low,30.1
-97,43,18,331,1.55,1.59,1,Poor,Low,Medium,62.2
-101,80,33,444,1.94,1.6,1,Poor,Medium,High,78.3
-84,84,77,52,3.35,1.65,1,Moderate,High,High,75.3
-117,40,49,322,8.93,2.51,1,Poor,Medium,Low,76.19999999999999
-101,71,46,302,3.75,1.42,1,Poor,Medium,High,72.9
-61,22,45,78,7.27,,0,Good,Medium,Low,51.71438888888889
-97,40,55,65,0.92,1.84,1,Poor,Medium,Low,63.5
-71,11,56,213,5.95,3.68,1,Good,Medium,Low,62.5
-72,24,82,429,4.87,3.02,0,Good,High,Low,61.39999999999999
-70,66,50,576,9.78,3.27,0,Good,Medium,Medium,80.10000000000001
-85,84,53,559,8.48,1.05,1,Moderate,Medium,High,69.6
-55,43,89,252,4.6,1.63,0,Good,High,Medium,50.0
-87,77,80,210,7.77,0.11,0,Moderate,High,High,58.0
-85,84,117,483,2.01,0.54,1,Moderate,High,High,64.5
-115,38,27,536,5.67,1.33,1,Poor,Medium,Low,63.0
-82,75,18,86,0.84,0.33,0,Moderate,Low,High,57.89999999999999
-79,25,26,487,3.55,3.01,0,Moderate,Medium,Low,63.8
-63,48,47,449,2.34,4.99,1,Good,Medium,Medium,88.0
-109,86,115,272,7.22,0.5,1,Poor,High,High,72.1
-118,46,18,194,4.95,4.11,1,Poor,Low,Medium,94.9
-103,90,96,64,7.54,0.59,1,Poor,High,High,72.8
-81,30,50,317,5.2,3.35,0,Moderate,Medium,Low,69.8
-100,53,6,525,0.96,3.22,1,Poor,Low,Medium,83.4
-106,28,28,308,7.38,,1,Poor,Medium,Low,67.6143888888889
-95,80,118,561,8.35,0.57,0,Moderate,High,High,66.2
-113,17,42,239,9.04,1.58,1,Poor,Medium,Low,56.5
-79,86,68,386,5.76,0.45,1,Moderate,High,High,62.599999999999994
-77,75,93,295,7.56,2.04,0,Moderate,High,High,73.5
-107,50,112,147,7.55,4.56,1,Poor,High,Medium,97.69999999999999
-119,84,106,487,1.64,,1,Poor,High,High,93.91438888888888
-84,97,119,16,1.73,3.61,1,Moderate,High,High,100.10000000000001
-52,79,57,428,0.8,2.67,0,Good,Medium,High,73.89999999999999
-83,70,7,481,3.27,4.42,1,Moderate,Low,Medium,97.1
-80,35,41,429,4.79,2.25,0,Moderate,Medium,Low,60.5
-59,80,75,285,9.98,,0,Good,High,High,74.31438888888889
-61,92,41,570,4.37,4.19,1,Good,Medium,High,97.00000000000001
-107,79,12,580,7.29,1.4,1,Poor,Low,High,77.7
-119,38,25,99,6.96,0.27,1,Poor,Medium,Low,53.599999999999994
-51,75,17,291,2.12,,0,Good,Low,High,69.9143888888889
-104,28,41,557,0.68,3.05,1,Poor,Medium,Low,72.9
-93,77,50,180,5.51,3.04,0,Moderate,Medium,High,89.1
-55,67,115,364,7.03,1.3,0,Good,High,Medium,56.3
-86,79,112,213,9.98,3.64,1,Moderate,High,High,93.8
-116,66,83,298,3.65,3.87,1,Poor,High,Medium,99.9
-56,46,15,471,8.97,4.6,1,Good,Low,Medium,81.2
-81,70,100,182,3.88,2.92,0,Moderate,High,Medium,81.5
-65,39,2,310,6.93,3.9,1,Good,Low,Low,74.1
-85,80,90,538,6.02,3.77,1,Moderate,High,High,95.2
-76,82,78,149,0.62,1.29,1,Moderate,High,High,68.5
-98,34,97,287,0.88,1.55,1,Poor,High,Low,58.5
-74,74,44,520,0.31,2.39,0,Good,Medium,High,75.7
-90,15,21,355,3.77,0.1,0,Moderate,Medium,Low,34.0
-110,27,103,149,7.48,1.49,1,Poor,High,Low,58.7
-111,19,22,123,1.81,2.37,1,Poor,Medium,Low,64.6
-54,20,58,589,6.1,0.54,0,Good,Medium,Low,29.6
-107,74,61,516,2.96,0.63,1,Poor,High,High,68.0
-111,86,112,375,7.99,2.32,1,Poor,High,High,90.89999999999999
-120,93,67,406,8.0,3.65,1,Poor,High,High,109.7
-116,74,114,120,7.78,4.17,1,Poor,High,High,106.10000000000001
-101,61,53,367,5.3,2.73,1,Poor,Medium,Medium,82.0
-113,76,56,247,2.92,2.37,1,Poor,Medium,High,88.0
-78,91,104,12,8.11,1.92,1,Moderate,High,High,79.0
-120,87,22,413,1.94,0.96,1,Poor,Medium,High,80.4
-64,40,110,34,2.97,0.73,0,Good,High,Low,42.5
-57,26,59,518,1.92,3.96,1,Good,Medium,Low,67.1
-93,64,72,474,6.77,2.33,0,Moderate,High,Medium,76.80000000000001
-84,45,87,70,6.89,3.95,1,Moderate,High,Medium,82.7
-74,35,84,517,6.56,3.52,1,Good,High,Low,71.4
-84,62,104,132,4.21,0.97,0,Moderate,High,Medium,59.7
-72,26,109,506,1.09,2.55,0,Good,High,Low,57.5
-77,95,54,64,9.12,2.22,1,Moderate,Medium,High,83.3
-65,34,116,172,5.13,2.12,0,Good,High,Low,54.300000000000004
-93,11,79,48,4.13,2.71,0,Moderate,High,Low,59.4
-115,95,62,92,5.93,4.91,1,Poor,High,High,121.6
-60,14,55,555,2.01,4.06,1,Good,Medium,Low,64.19999999999999
-101,13,54,122,1.41,4.52,1,Poor,Medium,Low,80.69999999999999
-119,45,24,434,4.11,0.15,1,Poor,Medium,Medium,55.199999999999996
-84,15,25,239,2.35,0.7,0,Moderate,Medium,Low,38.2
-101,30,48,292,2.52,,1,Poor,Medium,Low,66.91438888888888
-95,86,62,296,8.94,1.32,1,Moderate,High,High,76.1
-92,98,44,164,5.35,2.21,1,Moderate,Medium,High,88.9
-120,35,72,174,4.89,3.21,1,Poor,High,Low,82.1
-86,64,78,191,6.93,2.5,0,Moderate,High,Medium,76.4
-51,48,38,248,9.52,4.52,1,Good,Medium,Medium,79.7
-62,93,96,348,1.21,4.7,1,Good,High,High,102.8
-52,42,64,521,8.35,0.82,0,Good,High,Medium,40.6
-88,23,68,275,5.88,4.26,1,Moderate,High,Low,78.19999999999999
-70,65,55,196,1.55,2.41,0,Good,Medium,Medium,71.1
-109,90,8,49,3.04,2.27,1,Poor,Low,High,91.4
-101,30,107,502,4.88,,1,Poor,High,Low,66.91438888888888
-68,55,69,400,6.94,0.47,0,Good,High,Medium,47.099999999999994
-78,25,27,269,2.5,4.41,1,Moderate,Medium,Low,77.5
-71,25,44,185,5.4,3.35,0,Good,Medium,Low,64.8
-92,93,25,338,6.88,4.38,1,Moderate,Medium,High,108.6
-64,38,27,209,4.54,,1,Good,Medium,Low,59.01438888888889
-82,17,39,205,8.64,2.59,0,Moderate,Medium,Low,57.3
-65,97,14,598,8.71,0.47,1,Good,Low,High,63.0
-78,12,5,540,4.76,,0,Moderate,Low,Low,52.814388888888885
-71,98,26,71,9.73,1.62,1,Good,Medium,High,76.7
-98,28,37,336,0.85,0.52,1,Poor,Medium,Low,45.8
-77,75,67,290,0.13,,1,Moderate,High,High,77.71438888888889
-83,88,74,236,3.87,1.48,1,Moderate,High,High,74.9
-98,95,84,67,6.05,,1,Poor,High,High,92.01438888888889
-76,83,63,486,6.33,3.51,1,Moderate,High,High,91.1
-69,91,29,385,4.82,0.87,1,Good,Medium,High,65.8
-71,31,81,252,1.34,2.38,0,Good,High,Low,57.5
-113,55,98,376,1.79,,1,Poor,High,Medium,80.51438888888889
-120,22,2,509,8.54,2.46,1,Poor,Low,Low,69.4
-113,42,61,261,8.69,2.68,1,Poor,High,Medium,77.5
-92,14,11,331,6.77,0.16,0,Moderate,Low,Low,34.8
-116,99,90,385,6.68,3.43,1,Poor,High,High,108.7
-74,86,116,418,6.02,2.44,1,Good,High,High,81.0
-87,36,29,497,2.11,3.95,1,Moderate,Medium,Low,80.0
-56,87,84,352,4.34,4.08,1,Good,High,High,92.39999999999999
-66,33,37,249,6.99,1.15,0,Good,Medium,Low,44.5
-78,76,84,148,5.42,0.24,0,Moderate,High,High,56.2
-91,72,59,131,0.28,,1,Moderate,Medium,High,80.71438888888889
-104,57,37,429,9.54,,1,Poor,Medium,Medium,78.6143888888889
-95,72,103,570,8.46,2.23,0,Moderate,High,High,79.6
-113,87,14,313,2.68,1.3,1,Poor,Low,High,81.7
-74,21,17,124,6.2,0.78,0,Good,Low,Low,38.400000000000006
-75,37,51,352,9.24,1.44,0,Good,Medium,Low,51.7
-53,53,28,260,1.05,,0,Good,Medium,Medium,61.71438888888889
-88,52,111,16,5.08,2.12,0,Moderate,High,Medium,68.4
-120,26,101,598,4.62,3.28,1,Poor,High,Low,79.19999999999999
-102,49,59,188,4.16,1.37,1,Poor,Medium,Medium,63.900000000000006
-90,58,20,154,8.37,0.25,0,Moderate,Medium,Medium,52.7
-107,94,16,425,3.87,,1,Poor,Low,High,94.31438888888889
-68,66,104,130,0.73,4.28,1,Good,High,Medium,89.6
-73,96,114,133,0.75,2.49,1,Good,High,High,85.20000000000002
-52,93,17,159,0.52,4.82,1,Good,Low,High,101.0
-59,73,56,406,4.15,2.52,0,Good,Medium,High,72.10000000000001
-55,84,118,390,7.21,1.38,1,Good,High,High,63.9
-57,66,36,10,2.12,0.97,0,Good,Medium,Medium,53.2
-51,83,59,253,6.5,3.47,1,Good,Medium,High,83.2
-58,83,37,407,6.9,2.68,1,Good,Medium,High,77.4
-88,79,11,260,2.63,3.02,0,Moderate,Low,High,88.19999999999999
-80,97,74,585,6.05,3.78,1,Moderate,High,High,100.6
-73,85,111,308,6.88,3.63,1,Good,High,High,92.19999999999999
-108,52,115,306,4.72,0.22,1,Poor,High,Medium,55.4
-90,32,112,509,3.43,4.01,1,Moderate,High,Low,79.89999999999999
-53,36,83,124,6.23,2.66,0,Good,High,Low,56.9
-117,67,72,10,9.78,1.96,1,Poor,High,Medium,81.5
-102,46,0,562,4.33,2.69,1,Poor,Low,Medium,75.89999999999999
-51,15,57,491,3.98,3.06,0,Good,Medium,Low,51.9
-108,74,2,519,4.7,0.75,1,Poor,Low,High,69.5
-98,15,62,344,0.85,,1,Poor,High,Low,60.01438888888889
-120,59,20,474,5.58,1.68,1,Poor,Medium,Medium,76.4
-67,31,22,150,3.35,1.75,0,Good,Medium,Low,50.0
-106,97,8,592,1.3,0.46,1,Poor,Low,High,75.2
-56,34,117,146,4.72,0.8,0,Good,High,Low,38.400000000000006
-106,88,82,176,0.13,0.81,1,Poor,High,High,75.1
-100,99,108,352,4.08,1.87,1,Poor,High,High,88.30000000000001
-102,81,54,419,1.15,4.47,1,Poor,Medium,High,107.69999999999999
-61,60,109,74,0.34,1.03,0,Good,High,Medium,52.599999999999994
-88,97,115,590,8.26,2.08,1,Moderate,High,High,86.0
-72,57,18,76,9.17,1.56,0,Good,Low,Medium,60.0
-86,79,61,442,2.16,3.94,1,Moderate,High,High,96.8
-77,74,86,59,5.44,0.25,0,Moderate,High,High,55.2
-110,69,90,323,2.85,0.98,1,Poor,High,Medium,70.4
-55,55,90,318,4.99,1.05,0,Good,High,Medium,49.0
-75,45,38,124,4.42,,1,Good,Medium,Medium,65.1143888888889
-112,67,99,578,2.76,,1,Poor,High,Medium,85.0143888888889
-118,85,75,351,7.03,0.69,1,Poor,High,High,76.3
-95,47,118,539,1.35,1.36,0,Moderate,High,Medium,60.900000000000006
-73,20,26,504,0.63,0.84,0,Good,Medium,Low,38.3
-55,21,45,278,7.7,0.62,0,Good,Medium,Low,31.1
-51,51,33,89,6.69,,1,Good,Medium,Medium,60.314388888888885
-93,48,32,465,5.04,2.48,0,Moderate,Medium,Medium,71.9
-95,80,91,308,4.73,3.16,0,Moderate,High,High,92.1
-96,20,94,211,5.02,1.66,1,Poor,High,Low,53.39999999999999
-109,45,95,512,4.43,2.77,1,Poor,High,Medium,78.4
-116,61,49,494,3.99,1.29,1,Poor,Medium,Medium,72.1
-73,40,19,594,5.05,1.54,0,Good,Low,Low,53.3
-84,42,39,569,5.33,,0,Moderate,Medium,Medium,66.6143888888889
-77,22,98,27,6.95,0.75,0,Moderate,High,Low,39.4
-106,27,94,487,7.14,3.09,1,Poor,High,Low,73.5
-78,50,57,497,3.84,,1,Moderate,Medium,Medium,68.01438888888889
-73,67,30,455,4.19,0.6,0,Good,Medium,Medium,54.699999999999996
-51,65,37,349,3.8,4.49,1,Good,Medium,Medium,86.2
-75,33,85,540,5.41,0.4,0,Good,High,Low,39.7
-78,82,44,125,4.59,1.74,1,Moderate,Medium,High,73.6
-100,40,40,83,8.91,3.05,1,Poor,Medium,Low,76.5
-98,64,8,278,6.99,2.8,1,Poor,Low,Medium,83.0
-74,19,115,125,9.0,0.48,0,Good,High,Low,34.6
-106,69,8,173,7.12,3.99,1,Poor,Low,Medium,99.3
-96,11,62,592,9.71,4.87,1,Poor,High,Low,81.9
-85,24,78,231,6.39,0.91,0,Moderate,High,Low,44.2
-70,12,76,135,9.64,4.48,1,Good,High,Low,70.60000000000001
-106,52,21,185,1.67,2.78,1,Poor,Medium,Medium,80.39999999999999
-53,40,15,384,0.62,4.68,1,Good,Low,Low,78.69999999999999
-100,79,31,507,5.83,0.88,1,Poor,Medium,High,70.4
-108,76,65,94,9.84,3.96,1,Poor,High,High,102.4
-102,65,89,392,4.23,0.3,1,Poor,High,Medium,59.599999999999994
-87,72,13,472,2.2,4.42,1,Moderate,Low,High,99.1
-53,84,37,460,5.26,,1,Good,Medium,High,74.1143888888889
-69,24,97,527,6.52,1.85,0,Good,High,Low,48.8
-94,19,7,559,3.22,,0,Moderate,Low,Low,60.414388888888894
-92,47,99,125,7.18,4.08,1,Moderate,High,Medium,87.19999999999999
-93,56,20,17,9.75,3.02,0,Moderate,Medium,Medium,80.5
-86,66,55,227,8.98,1.8,0,Moderate,Medium,Medium,70.2
-113,59,45,599,2.99,2.22,1,Poor,Medium,Medium,79.7
-105,80,42,413,3.33,4.13,1,Poor,Medium,High,104.8
-85,24,119,576,3.78,1.69,0,Moderate,High,Low,52.0
-91,27,91,313,4.01,0.45,0,Moderate,High,Low,42.6
-103,91,45,476,1.09,4.56,1,Poor,Medium,High,112.9
-119,97,107,97,7.64,1.94,1,Poor,High,High,93.9
-72,11,47,19,3.72,1.74,0,Good,Medium,Low,43.39999999999999
-117,93,69,317,8.81,1.02,1,Poor,High,High,82.5
-114,52,83,443,9.28,4.49,1,Poor,High,Medium,99.9
-82,35,30,173,0.34,1.09,0,Moderate,Medium,Low,49.5
-108,80,32,248,9.89,3.18,1,Poor,Medium,High,96.19999999999999
-90,47,43,326,7.13,4.4,1,Moderate,Medium,Medium,89.8
-58,51,70,344,5.25,0.17,0,Good,High,Medium,39.5
-65,14,7,27,3.96,,1,Good,Low,Low,49.71438888888889
-79,20,72,80,5.23,2.05,0,Moderate,High,Low,52.2
-60,74,1,184,3.31,3.29,0,Good,Low,High,80.5
-79,43,16,348,6.26,1.86,0,Moderate,Low,Medium,59.5
-65,10,51,257,1.02,,0,Good,Medium,Low,48.11438888888889
-85,92,44,202,6.25,1.27,1,Moderate,Medium,High,75.0
-53,11,36,428,2.83,0.11,0,Good,Medium,Low,21.4
-114,94,41,334,0.27,4.74,1,Poor,Medium,High,119.19999999999999
-67,29,43,315,5.57,0.08,0,Good,Medium,Low,32.5
-120,70,80,213,5.83,4.12,1,Poor,High,Medium,105.2
-77,96,116,132,4.32,0.85,1,Moderate,High,High,70.0
-76,30,37,579,0.82,1.96,0,Moderate,Medium,Low,54.400000000000006
-74,97,98,456,8.94,4.11,1,Good,High,High,102.10000000000001
-108,77,110,500,6.15,1.03,1,Poor,High,High,73.5
-99,21,102,442,1.25,,1,Poor,High,Low,62.71438888888889
-100,31,93,137,5.16,2.49,1,Poor,High,Low,67.30000000000001
-112,29,5,557,5.02,1.83,1,Poor,Low,Low,63.5
-95,91,67,56,0.7,3.31,1,Moderate,High,High,98.0
-112,10,50,514,6.11,1.71,1,Poor,Medium,Low,54.7
-106,39,100,124,8.1,,1,Poor,High,Low,72.01438888888889
-111,33,34,425,7.52,3.67,1,Poor,Medium,Low,83.2
-79,23,57,232,2.11,1.55,0,Moderate,Medium,Low,48.400000000000006
-97,45,56,512,8.64,1.0,1,Poor,Medium,Medium,57.099999999999994
-72,78,72,105,3.49,4.04,1,Good,High,High,93.19999999999999
-95,84,5,116,9.47,4.03,1,Moderate,Low,High,102.4
-84,33,12,41,0.81,2.49,0,Moderate,Low,Low,63.3
-53,69,58,502,4.91,2.63,0,Good,Medium,Medium,69.8
-71,64,85,75,6.01,3.48,0,Good,High,Medium,81.7
-97,86,91,188,2.55,2.55,1,Poor,High,High,89.0
-102,89,29,452,7.74,2.09,1,Poor,Medium,High,87.1
-61,33,115,558,6.31,,1,Good,High,Low,56.1143888888889
-82,86,99,210,0.28,0.74,1,Moderate,High,High,66.39999999999999
-103,33,1,58,6.12,2.96,1,Poor,Low,Low,73.7
-102,63,57,272,4.97,4.43,1,Poor,Medium,Medium,100.1
-85,35,35,142,2.04,3.44,0,Moderate,Medium,Low,73.9
-66,75,71,353,9.96,4.4,1,Good,High,High,93.8
-52,89,44,185,8.98,1.68,1,Good,Medium,High,68.0
-74,47,105,400,3.0,1.36,0,Good,High,Medium,54.60000000000001
-72,74,113,20,5.46,4.26,1,Good,High,High,93.79999999999998
-88,84,8,210,3.23,1.97,1,Moderate,Low,High,79.69999999999999
-100,60,64,12,7.78,3.55,1,Poor,High,Medium,89.5
-99,44,76,223,9.31,0.74,1,Poor,High,Medium,54.7
-73,52,49,316,3.65,3.78,1,Good,Medium,Medium,80.5
-84,38,78,553,8.08,2.74,0,Moderate,High,Low,67.8
-106,46,31,569,5.03,1.34,1,Poor,Medium,Medium,63.6
-86,90,97,336,4.03,2.47,1,Moderate,High,High,86.5
-89,67,42,208,9.39,3.48,0,Moderate,Medium,Medium,88.3
-110,63,94,118,5.15,0.06,1,Poor,High,Medium,58.800000000000004
-111,48,77,300,4.73,3.19,1,Poor,High,Medium,84.4
-64,51,53,117,6.76,2.71,0,Good,Medium,Medium,66.7
-96,37,46,417,2.69,1.1,1,Poor,Medium,Low,54.599999999999994
-119,38,13,561,3.32,3.76,1,Poor,Low,Low,88.5
-57,52,47,61,9.33,1.52,0,Good,Medium,Medium,53.099999999999994
-86,12,54,121,6.82,1.38,0,Moderate,Medium,Low,44.400000000000006
-114,19,28,304,8.28,2.36,1,Poor,Medium,Low,65.39999999999999
-103,68,46,589,2.78,,1,Poor,Medium,Medium,82.71438888888889
-54,23,62,198,5.48,4.64,1,Good,High,Low,71.8
-79,85,18,74,9.72,0.71,1,Moderate,Low,High,64.8
-82,56,90,583,3.26,,0,Moderate,High,Medium,71.61438888888888
-80,51,8,474,1.69,0.33,0,Moderate,Low,Medium,47.7
-97,41,100,267,5.16,3.79,1,Poor,High,Medium,83.39999999999999
-61,41,36,340,3.94,2.24,0,Good,Medium,Medium,57.10000000000001
-75,51,106,510,1.68,3.53,1,Good,High,Medium,78.2
-102,41,91,219,8.9,,1,Poor,High,Medium,71.61438888888888
-53,35,51,98,9.91,4.22,1,Good,Medium,Low,72.1
-79,10,56,37,5.73,2.67,0,Moderate,Medium,Low,54.4
-89,65,87,247,7.77,4.72,1,Moderate,High,Medium,99.89999999999999
-82,11,27,345,8.6,0.39,0,Moderate,Medium,Low,32.9
-85,90,35,72,7.04,2.57,1,Moderate,Medium,High,87.2
-85,39,115,562,0.54,3.83,1,Moderate,High,Low,79.4
-118,80,63,509,1.66,3.0,1,Poor,High,High,97.4
-113,61,17,550,0.8,0.12,1,Poor,Low,Medium,59.5
-51,18,88,478,0.2,4.86,1,Good,High,Low,71.10000000000001
-80,31,34,60,3.13,1.49,0,Moderate,Medium,Low,51.3
-53,43,67,121,3.98,,0,Good,High,Medium,57.714388888888884
-108,58,77,310,2.49,2.43,1,Poor,High,Medium,79.9
-72,10,38,99,0.74,2.71,0,Good,Medium,Low,52.7
-61,82,89,238,5.35,3.83,1,Good,High,High,89.39999999999999
-119,93,7,159,2.81,1.97,1,Poor,Low,High,92.6
-61,62,87,147,7.98,2.2,0,Good,High,Medium,65.1
-116,92,79,144,0.18,2.67,1,Poor,High,High,98.3
-77,49,83,466,8.44,1.97,0,Moderate,High,Medium,62.39999999999999
-94,54,14,503,9.55,4.57,1,Moderate,Low,Medium,95.50000000000001
-89,77,6,536,7.19,4.26,1,Moderate,Low,High,100.1
-100,18,16,342,7.36,2.27,1,Poor,Low,Low,59.9
-113,31,85,371,9.34,0.0,1,Poor,High,Low,46.3
-71,27,85,183,2.17,4.5,1,Good,High,Low,77.1
-54,85,117,222,9.95,,1,Good,High,High,74.81438888888889
-77,52,63,352,7.76,1.22,0,Moderate,High,Medium,56.099999999999994
-63,48,11,70,7.29,0.76,0,Good,Low,Medium,45.7
-118,82,81,70,3.67,0.9,1,Poor,High,High,77.2
-51,15,55,533,5.5,4.01,1,Good,Medium,Low,61.39999999999999
-119,92,45,225,6.57,2.9,1,Poor,Medium,High,101.5
-77,57,46,598,6.24,4.78,1,Moderate,Medium,Medium,93.7
-119,16,78,587,7.08,1.16,1,Poor,High,Low,53.699999999999996
-86,89,100,432,0.92,2.43,1,Moderate,High,High,85.7
-91,78,15,432,3.62,4.89,1,Moderate,Low,High,107.39999999999999
-113,25,68,380,4.4,4.13,1,Poor,High,Low,85.19999999999999
-99,10,1,215,2.68,3.64,1,Poor,Low,Low,70.1
-77,46,115,295,1.81,0.94,0,Moderate,High,Medium,50.9
-63,92,91,114,1.48,3.85,1,Good,High,High,94.20000000000002
-85,46,104,552,3.73,1.74,0,Moderate,High,Medium,61.3
-52,90,53,251,4.99,2.65,1,Good,Medium,High,78.1
-90,73,26,500,0.72,3.05,0,Moderate,Medium,High,86.7
-74,99,30,507,9.47,3.05,1,Good,Medium,High,92.3
-66,95,40,444,7.68,,1,Good,Medium,High,82.4143888888889
-59,71,35,493,7.34,,0,Good,Medium,High,70.71438888888889
-91,81,46,456,1.81,0.34,1,Moderate,Medium,High,63.099999999999994
-66,70,42,393,6.08,,0,Good,Medium,Medium,72.4143888888889
-105,42,64,519,5.34,3.32,1,Poor,High,Medium,81.5
-109,75,49,179,9.83,1.48,1,Poor,Medium,High,77.5
-104,39,92,332,7.5,1.57,1,Poor,High,Low,62.5
-105,29,0,483,5.8,0.62,1,Poor,Low,Low,49.3
-109,69,71,241,8.52,2.09,1,Poor,High,Medium,81.19999999999999
-113,91,56,368,1.64,4.93,1,Poor,Medium,High,119.6
-118,83,15,284,0.25,1.43,1,Poor,Low,High,82.9
-105,33,27,41,6.93,2.66,1,Poor,Medium,Low,71.30000000000001
-91,13,85,186,1.07,3.72,1,Moderate,High,Low,69.7
-98,46,81,74,1.24,0.07,1,Poor,High,Medium,48.5
-116,13,21,36,7.47,4.5,1,Poor,Medium,Low,85.0
-56,86,40,488,2.78,1.93,1,Good,Medium,High,70.5
-91,98,75,277,6.32,4.35,1,Moderate,High,High,110.0
-100,86,18,75,9.18,0.19,1,Poor,Low,High,66.3
-51,27,88,142,3.23,0.73,0,Good,High,Low,33.4
-99,97,49,375,2.25,1.61,1,Poor,Medium,High,84.60000000000001
-89,75,58,91,1.15,1.73,0,Moderate,Medium,High,74.0
-88,57,68,337,1.39,4.24,1,Moderate,High,Medium,91.6
-105,42,33,107,0.72,,1,Poor,Medium,Medium,72.9143888888889
-83,67,38,594,0.97,3.21,0,Moderate,Medium,Medium,83.80000000000001
-107,92,73,336,4.38,0.66,1,Poor,High,High,75.5
-85,82,110,551,3.28,4.12,1,Moderate,High,High,99.5
-98,37,6,134,7.09,3.89,1,Poor,Low,Low,83.1
-55,44,100,219,8.72,2.5,0,Good,High,Medium,59.1
-119,19,110,142,7.87,1.06,1,Poor,High,Low,53.9
-56,74,51,512,5.35,3.17,0,Good,Medium,High,78.1
-54,51,59,166,1.11,0.78,0,Good,Medium,Medium,44.400000000000006
-69,94,51,568,7.13,,1,Good,Medium,High,82.9143888888889
-59,18,78,391,3.69,3.13,0,Good,High,Low,56.2
-98,69,105,31,0.95,4.96,1,Poor,High,Medium,106.6
-95,24,23,428,8.44,4.46,1,Moderate,Medium,Low,82.7
-53,66,25,481,3.45,2.97,0,Good,Medium,Medium,72.0
-66,78,89,243,2.26,,0,Good,High,High,75.6143888888889
-115,31,109,581,8.73,4.99,1,Poor,High,Low,96.80000000000001
-86,73,89,463,9.03,2.74,0,Moderate,High,High,82.4
-99,50,9,579,3.46,2.1,1,Poor,Low,Medium,70.7
-78,96,16,171,3.61,4.55,1,Moderate,Low,High,107.30000000000001
-106,80,116,310,5.84,1.17,1,Poor,High,High,75.5
-61,65,77,315,7.36,0.49,0,Good,High,Medium,49.2
-109,32,1,11,0.73,3.17,1,Poor,Low,Low,77.19999999999999
-72,34,111,280,5.97,0.48,0,Good,High,Low,40.0
-79,15,76,430,9.53,1.87,0,Moderate,High,Low,48.400000000000006
-83,43,26,152,2.69,2.12,0,Moderate,Medium,Medium,63.300000000000004
-76,72,72,544,9.1,2.74,0,Moderate,High,High,79.0
-86,18,70,46,9.51,4.96,1,Moderate,High,Low,82.60000000000001
-91,69,47,116,2.76,1.1,0,Moderate,Medium,Medium,65.9
-91,58,73,306,7.57,1.88,0,Moderate,High,Medium,69.3
